n,m,C,S
17,17,-3.46971352906772e-08,-1.98743584916705e-08
18,0,6.09862871807421e-09,0.0
18,1,7.20152312518112e-09,-3.92970098282429e-08
18,2,1.47251428316923e-08,1.0833387308781e-08
18,3,-5.04457513185901e-09,-5.84923266822307e-09
18,4,5.46253493560536e-08,-7.86748537792632e-10
18,5,5.97651128344404e-09,2.61398616579252e-08
18,6,1.35775785802306e-08,-1.32446105152748e-08
18,7,6.79347259309753e-09,7.46790172709486e-09
18,8,3.04992690074792e-08,4.34439798188153e-09
18,9,-1.95696822181729e-08,3.61306774690565e-08
18,10,5.21528994919861e-09,-4.24068379064049e-09
18,11,-6.88640849277642e-09,2.11925103597343e-09
18,12,-2.97489841938418e-08,-1.65609165083241e-08
18,13,-6.25379710747338e-09,-3.49391913136191e-08
18,14,-8.29497209425585e-09,-1.28330547008713e-08
18,15,-4.04690219510979e-08,-2.02806589920597e-08
18,16,1.01653114622966e-08,6.50425930141024e-09
18,17,3.48327556578355e-09,4.37638847248534e-09
18,18,2.99062325911737e-09,-1.08590059665012e-08
19,0,-3.30313643444747e-09,0.0
19,1,-8.97158188216359e-09,1.19351790338528e-09
19,2,3.57388371471962e-08,-2.37015979063608e-09
19,3,-7.56032556254074e-09,1.10290369074984e-09
19,4,1.58085379630551e-08,-8.14278758437249e-09
19,5,1.03889228527421e-08,2.74505357043879e-08
19,6,-4.79964549701996e-09,1.87563790081893e-08
19,7,5.64134377468315e-09,-8.74192018355915e-09
19,8,2.98891166523339e-08,-9.99215899666339e-09
19,9,3.28811224665918e-09,7.23785481495213e-09
19,10,-3.38785599522056e-08,-7.57904101437065e-09
19,11,1.63045986043663e-08,1.03569678194585e-08
19,12,-2.43982295344659e-09,9.45624397342968e-09
19,13,-7.54129981811845e-09,-2.85237528001317e-08
19,14,-4.74367454667135e-09,-1.28504936248119e-08
19,15,-1.75897089065384e-08,-1.40715825139566e-08
19,16,-2.17451255571334e-08,-7.09767792051299e-09
19,17,2.88044882586693e-08,-1.53426366311999e-08
19,18,3.50090299803503e-08,-9.68981039886231e-09
19,19,-2.70413871892665e-09,5.19745751787224e-09
20,0,2.15591507033563e-08,0.0
20,1,5.56769420352798e-09,7.02905214885703e-09
20,2,2.02918579297024e-08,1.71846424016348e-08
20,3,-4.75067130843254e-09,3.88999361019568e-08
20,4,4.27003612219999e-09,-2.26257406735223e-08
20,5,-1.01257213338814e-08,-8.25992352502226e-09
20,6,1.21620484764481e-08,-4.36402383882308e-09
20,7,-2.12263060369801e-08,-7.05320978718748e-10
20,8,5.09516213860775e-09,2.15379201882923e-09
20,9,1.71870322955948e-08,-7.01274288613723e-09
20,10,-3.22958167727745e-08,-4.78973340317704e-09
20,11,1.44499209074778e-08,-1.91512412341219e-08
20,12,-6.4675056677167e-09,1.81349181903443e-08
20,13,2.74124121971504e-08,6.7638200059281e-09
20,14,1.15262785907965e-08,-1.43820399199974e-08
20,15,-2.57906406507802e-08,-8.65059449398313e-10
20,16,-1.24242154429344e-08,-3.43443068287856e-10
20,17,4.50343354729068e-09,-1.37322621927409e-08
20,18,1.53567048646754e-08,-8.97483616979646e-10
20,19,-3.03011942827495e-09,1.09224394426113e-08
20,20,3.73507214738094e-09,-1.26949126479726e-08
21,0,6.24977184727142e-09,0.0
21,1,-1.61584960390177e-08,2.86922505251025e-08
21,2,-5.6166957447489e-09,4.1789577346587e-09
21,3,1.91460394251428e-08,2.27233961252948e-08
21,4,-5.10972529743564e-09,1.89848723340178e-08
21,5,2.60621810044519e-09,1.0971648809628e-09
21,6,-1.35494262411299e-08,1.3712121732731e-11
21,7,-6.61044220014108e-09,2.5212103741106e-09
21,8,-1.72312779180303e-08,2.14879443753672e-09
21,9,1.58563800022178e-08,9.07842486286134e-09
21,10,-1.13997405607735e-08,-1.14046472237802e-09
21,11,6.89424285619426e-09,-3.55785033947298e-08
21,12,-3.32626248475741e-09,1.47748999984542e-08
21,13,-1.93635228526149e-08,1.3938003264279e-08
21,14,2.02649547927933e-08,7.35384450372034e-09
21,15,1.75731363406368e-08,1.0368970851712e-08
21,16,7.49270977345996e-09,-6.65348605902996e-09
21,17,-7.4668576180497e-09,-7.3774886390834e-09
21,18,2.64707224617052e-08,-1.10721542080636e-08
21,19,-2.7202723563512e-08,1.65551841156344e-08
21,20,-2.69495467757536e-08,1.59189204425363e-08
21,21,8.45910170806602e-09,-3.65321656984787e-09
22,0,-1.07772567310914e-08,0.0
22,1,1.56810174592028e-08,-3.84060273586347e-09
22,2,-2.64892851416925e-08,-1.16465930314882e-09
22,3,1.13438875568191e-08,1.0121431571444e-08
22,4,-3.61500365031197e-09,1.87274809330152e-08
22,5,9.6806778529166e-11,-3.18496276236828e-10
22,6,1.01648080995911e-08,-5.50763247915452e-09
22,7,1.74645378087162e-08,4.74747333054533e-09
22,8,-2.34988234728281e-08,3.81455946013761e-09
22,9,6.6828715954248e-09,8.37665919933101e-09
22,10,5.62736153524834e-09,2.23513690166568e-08
22,11,-4.8153059356448e-09,-1.75636129350211e-08
22,12,2.4184460878285e-09,-8.20832230591832e-09
22,13,-1.71591275582331e-08,1.95127463989993e-08
22,14,1.08704662432765e-08,8.32671558042586e-09
22,15,2.57664603930916e-08,4.71142682022319e-09
22,16,1.12824875831035e-10,-7.28899313273568e-09
22,17,8.56694818662282e-09,-1.46000461088908e-08
22,18,1.01968023898073e-08,-1.62050193177967e-08
22,19,1.40571747858935e-08,-3.36236450688042e-09
22,20,-1.67728511120447e-08,1.95826677648397e-08
22,21,-2.53159625587767e-08,2.39692995280167e-08
22,22,-1.00792291077701e-08,2.33500809593777e-09
23,0,-2.2259236935367e-08,0.0
23,1,9.17464890610878e-09,1.61952286471013e-08
23,2,-1.43936331663087e-08,-4.58573617697428e-09
23,3,-2.40771916404486e-08,-1.74957518276718e-08
23,4,-2.38684204898637e-08,8.2923882795486e-09
23,5,-8.83211625731366e-10,1.64665275280578e-10
23,6,-1.19276378612301e-08,1.61304545400405e-08
23,7,-6.88740550551295e-09,-1.91397852420673e-09
23,8,7.36058661754965e-09,1.82352729338449e-10
23,9,1.81819233113364e-09,-1.28499684565167e-08
23,10,1.68616355823109e-08,-2.26964546882757e-09
23,11,9.23106099566123e-09,1.42937327655739e-08
23,12,1.64661359096641e-08,-1.20086167532985e-08
23,13,-1.16116647358326e-08,-5.20507359211939e-09
23,14,6.95698850168684e-09,-1.46371127245051e-09
23,15,1.89460333876311e-08,-3.59114572449078e-09
23,16,5.90787056073298e-09,1.10767537310355e-08
23,17,-5.46344574978046e-09,-1.29336873674311e-08
23,18,8.54349524918403e-09,-1.48171754135083e-08
23,19,-5.47552535534081e-09,1.06567231826728e-08
23,20,7.97074457466334e-09,-5.45405930990654e-09
23,21,1.57093052771851e-08,1.17414500770336e-08
23,22,-1.79741548069429e-08,4.73423743082551e-09
23,23,3.05532132709428e-09,-1.20563683028849e-08
24,0,-7.29311730529204e-11,0.0
24,1,-2.73044176963461e-09,-1.53266620785052e-09
24,2,9.59964424565557e-10,1.5154395738441e-08
24,3,-4.80866675119318e-09,-9.73533536173374e-09
24,4,5.97169159494454e-09,5.08911964925789e-09
24,5,-7.11793314132635e-09,-2.14262378272962e-08
24,6,3.62207110028164e-09,1.36044582864928e-09
24,7,-6.06363568035722e-09,4.91672724676752e-09
24,8,1.54072555437137e-08,-3.60812244996912e-09
24,9,-1.15751520988093e-08,-1.78355593524251e-08
24,10,1.09719273685843e-08,2.12569237716145e-08
24,11,1.51845349640653e-08,1.78040482985835e-08
24,12,1.14861865026666e-08,-6.17826525931362e-09
24,13,-3.02205191374829e-09,2.93476391139084e-09
24,14,-1.99569522298403e-08,-2.04641456836742e-09
24,15,6.35490900444178e-09,-1.59566972644154e-08
24,16,8.44903917752228e-09,2.72024146612831e-09
24,17,-1.19426848977209e-08,-6.44428063179946e-09
24,18,-3.6938414745559e-10,-1.03054147076774e-08
24,19,-4.44607720193391e-09,-8.67518429152269e-09
24,20,-5.65651494083195e-09,8.64212722355149e-09
24,21,5.5391166608603e-09,1.41196394253887e-08
24,22,3.99587089888849e-09,-3.93596776288303e-09
24,23,-6.19078276892964e-09,-8.82037161858174e-09
24,24,1.26584862526522e-08,-3.68695020064771e-09
25,0,3.20598734329939e-09,0.0
25,1,6.37138847616777e-09,-9.15694492187822e-09
25,2,2.27175340858446e-08,9.34694216870053e-09
25,3,-9.68121214416588e-09,-1.43065467749278e-08
25,4,1.01626991717437e-08,2.96899934977453e-10
25,5,-1.10411938574063e-08,-4.12570457156021e-10
25,6,1.62742318697154e-08,1.63730412787704e-10
25,7,9.59277390590897e-09,-6.62254501807672e-09
25,8,2.08273934296886e-09,1.83591500651598e-10
25,9,-3.03729337788405e-08,2.29531799333138e-08
25,10,8.99521256113324e-09,-4.41650495583955e-09
25,11,1.8895891309712e-09,1.03199175018396e-08
25,12,-7.76048780369275e-09,1.1571228873282e-08
25,13,7.96380614113776e-09,-1.16510263641772e-08
25,14,-1.99222544811326e-08,6.56132857540598e-09
25,15,-4.44589479364883e-09,-7.41171825487876e-09
25,16,1.30555080737715e-09,-1.29019675679949e-08
25,17,-1.5511375299179e-08,-3.70458425865622e-09
25,18,1.53751891476056e-09,-1.48836219419485e-08
25,19,7.76475227215034e-09,9.80656239211915e-09
25,20,-7.98489257329358e-09,-9.63153241628964e-10
25,21,1.06934402783522e-08,7.75981477961148e-09
25,22,-1.41390853980964e-08,3.8614428836821e-09
25,23,8.58533773832998e-09,-1.26390122596887e-08
25,24,4.24152224663866e-09,-8.39704764872638e-09
25,25,1.04936582302616e-08,4.94806311613958e-09
26,0,5.89238392271432e-09,0.0
26,1,-1.43319110570104e-10,-6.64887064948804e-09
26,2,-1.58606093368116e-09,1.15037894054995e-08
26,3,1.51051173837328e-08,4.04520346602643e-09
26,4,1.90768148829694e-08,-2.02269514773407e-08
26,5,1.31550147271952e-08,7.82252579346489e-09
26,6,9.60350026057024e-09,-1.05154531780729e-08
26,7,-1.58724772386567e-09,4.44756355938498e-09
26,8,3.47082300065802e-09,1.78107747251334e-09
26,9,-1.30951109455882e-08,7.12297780037371e-10
26,10,-1.49687595268914e-08,-5.66127055819274e-09
26,11,-4.62743446256929e-09,1.67544322436372e-09
26,12,-1.70122946545135e-08,2.33132044906936e-09
26,13,-1.75513139698735e-10,1.5365973762284e-09
26,14,7.66776606118743e-09,8.06474326944995e-09
26,15,-1.33588337938914e-08,8.29767721535204e-09
26,16,1.58568206592065e-09,-6.39944339909513e-09
26,17,-1.20031981259207e-08,7.91630313460838e-09
26,18,-1.29374429771876e-08,4.89690075031118e-09
26,19,-2.26428688962503e-09,3.76903918895651e-09
26,20,6.23141756506535e-09,-1.19791260868403e-08
26,21,-9.1611498122118e-09,1.94168847145814e-09
26,22,1.03782069803566e-08,7.0651724873475e-09
26,23,1.02380077761227e-09,1.07241407841736e-08
26,24,9.02984567710755e-09,1.47824676612315e-08
26,25,3.78138208737188e-09,-5.8090578533085e-10
26,26,6.58079776883815e-10,2.07680147905818e-09
27,0,3.61360196571796e-09,0.0
27,1,2.86137900927265e-09,1.58725486281296e-09
27,2,6.60064834219505e-10,-6.16368940081158e-10
27,3,3.53084058094838e-09,1.04827640336862e-08
27,4,-1.59926055085654e-09,8.05817743399237e-09
27,5,1.46091224731707e-08,1.49905332122623e-08
27,6,4.96820847478438e-09,6.41225991294182e-09
27,7,-1.11317957339811e-08,-6.9052336397754e-09
27,8,-8.03739017001217e-09,-8.76275609221432e-09
27,9,3.0663250141063e-09,1.12697745241444e-08
27,10,-1.35132202071968e-08,1.26794123062642e-09
27,11,2.23670596410234e-09,-9.43953879456798e-09
27,12,-1.09642570429207e-08,2.0699246882863e-09
27,13,-4.57176348659714e-09,-4.67338928930228e-09
27,14,1.53376443115287e-08,1.18222605412149e-08
27,15,-2.13222954352628e-09,1.47112108119539e-09
27,16,2.57210136783173e-09,3.16997379252524e-09
27,17,4.42472573205382e-09,5.04761416469733e-10
27,18,-2.0716433850485e-09,7.87754369082609e-09
27,19,-2.72870630975609e-10,-2.4000657648377e-09
27,20,-1.27144544010381e-09,3.6603567963339e-09
27,21,4.92315735762124e-09,-6.65258577857072e-09
27,22,-5.8212283276222e-09,2.89084691543489e-09
27,23,-5.32113281672823e-09,-1.15996372993086e-08
27,24,3.84567638284934e-10,-2.24003398737297e-09
27,25,1.20948180878227e-08,6.00985436782061e-09
27,26,-6.82518753697823e-09,-2.38674628687537e-09
27,27,8.06327474423184e-09,1.07346749127698e-09
28,0,-9.77255422916287e-09,0.0
28,1,-5.27777339142806e-09,8.71875125510949e-09
28,2,-1.50090481289917e-08,-8.25563771463205e-09
28,3,2.90294937280847e-09,1.01837144304814e-08
28,4,-1.41319149128493e-09,1.12846526653792e-08
28,5,1.1973859137171e-08,-4.72242194400193e-09
28,6,-4.61126083102582e-09,1.29268989665903e-08
28,7,-2.58748370052781e-09,5.65213308123501e-09
28,8,-3.06928868864284e-09,-1.7568290830231e-09
28,9,9.28183302402545e-09,-1.26959520585365e-08
28,10,-1.0627433786487e-08,7.9675167487672e-09
28,11,-3.54427125144653e-09,-1.83862678673097e-09
28,12,-8.6737128963482e-10,1.03395485690751e-08
28,13,2.12618929075416e-09,5.90056882694103e-09
28,14,-8.12189419768024e-09,-1.28622517938612e-08
28,15,-1.22505585322372e-08,-2.18594850522785e-09
28,16,-4.63917494351985e-09,-1.32800356759863e-08
28,17,1.3795821936392e-08,-4.98351924534829e-09
28,18,5.70555920373592e-09,-3.33600932471709e-09
28,19,6.2729796190363e-09,2.41073344873701e-08
28,20,-1.52120555556299e-09,6.4988661770671e-09
28,21,6.77747366709958e-09,6.61576962140779e-09
28,22,-2.22934124422372e-09,-7.3102907616733e-09
28,23,6.88876206673423e-09,2.66797073428534e-09
28,24,1.10608688152135e-08,-1.38835544251802e-08
28,25,7.36537968091873e-09,-1.74514354504311e-08
28,26,1.2069241125101e-08,3.82709374830503e-09
28,27,-8.0334018307132e-09,1.20736908869675e-09
28,28,6.81370843715606e-09,6.68225806608457e-09
29,0,-5.27746754099948e-09,0.0
29,1,4.02826140059801e-09,-1.35296840179441e-08
29,2,-2.38046076294983e-09,-2.44184054950082e-09
29,3,3.81345855208976e-09,-1.15771835455321e-08
29,4,-2.53893575255871e-08,2.39984128186089e-09
29,5,-7.98305255657438e-09,5.95641758451428e-09
29,6,1.16502090437885e-08,1.03812293223298e-08
29,7,-3.58981839060716e-09,-3.15011977031452e-09
29,8,-1.95786885380484e-08,9.57895740289937e-09
29,9,7.71402300679876e-11,2.69312876471732e-09
29,10,1.37590285813959e-08,5.47154675676111e-11
29,11,-6.22867628933717e-09,6.86722208852569e-09
29,12,-7.79981834047572e-10,-4.85658030003158e-09
29,13,-1.4481234045133e-09,-2.63711856540103e-09
29,14,-3.07812921570604e-09,-4.72261465868537e-09
29,15,-9.48432420499438e-09,-7.0503068897409e-09
29,16,1.54322038067069e-10,-1.46825574130345e-08
29,17,-2.28273775356525e-09,-4.71163006045121e-09
29,18,-3.55106125139237e-09,-2.82199653228616e-09
29,19,-6.21168166288385e-09,6.81691094221985e-09
29,20,-8.12200183965354e-09,5.78588285285861e-09
29,21,-9.96030780737504e-09,-5.13975930555701e-09
29,22,1.17101537814944e-08,-1.23854030281502e-09
29,23,-1.91147050157587e-09,2.2179072127838e-09
29,24,3.12741214136979e-10,-2.23925971753038e-09
29,25,5.7929040372111e-09,8.74253014816183e-09
29,26,7.86549069288201e-09,-6.81508876149489e-09
29,27,-7.73198981621778e-09,-7.07562556147988e-10
29,28,9.53456435468314e-09,-5.73781273256966e-09
29,29,1.28040811994594e-08,-5.21258169406697e-09
30,0,6.25621213547417e-09,0.0
30,1,2.72973894343765e-10,1.08707548640056e-09
30,2,-9.96215862964394e-09,-1.17342214078429e-09
30,3,3.91860062241846e-09,-1.37359105421668e-08
30,4,-1.66575883758833e-09,-3.75777572176683e-09
30,5,-2.63267114706065e-09,-5.67403766994914e-09
30,6,-1.59153849215255e-10,8.36497154296697e-10
30,7,2.39274288894514e-09,3.81285382471467e-09
30,8,4.65542676614469e-09,3.27048201916125e-09
30,9,-8.02172747032548e-09,-1.17090583545495e-08
30,10,4.88895529179515e-09,-4.95634270010704e-09
30,11,-9.54981801117935e-09,1.03881068776e-08
30,12,1.70984337912031e-08,-1.07359752881943e-08
30,13,1.37936659250078e-08,2.97919082214967e-09
30,14,4.83530301509899e-09,8.12217989910379e-09
30,15,6.55499236041115e-10,-1.06314990319328e-09
30,16,-1.05657801355094e-08,4.143084382856e-09
30,17,-6.88529822354661e-09,-5.87758197826825e-09
30,18,-1.11625831083733e-08,-7.96819714002388e-09
30,19,-1.36325257536558e-08,2.74965538747752e-09
30,20,-5.222403417408e-09,1.33399593678695e-08
30,21,-1.16616533944857e-08,-5.54438774816247e-09
30,22,-5.24295838491482e-09,-8.70858295344301e-09
30,23,5.39261299563404e-09,-1.09749323115847e-08
30,24,-2.73753474969356e-09,-2.57791965626319e-09
30,25,3.07695334983162e-09,-1.57203294648944e-08
30,26,1.35544288992157e-09,1.25507804911946e-08
30,27,-7.72945455692539e-09,1.25530137120533e-08
30,28,-5.82428229073653e-09,-8.09342596179049e-09
30,29,3.93886800210683e-09,1.87699427654489e-09
30,30,2.58872905026839e-09,8.47404049229424e-09
31,0,6.75955887299541e-09,0.0
31,1,7.12086552599013e-09,-1.84770459419085e-08
31,2,6.26154203227406e-09,5.11701696393821e-09
31,3,-6.59549099927025e-09,-7.54307380651232e-09
31,4,1.13910130575125e-08,-5.17626757673382e-09
31,5,-1.14815117556911e-08,5.45688229336428e-09
31,6,-8.51046030288763e-11,-2.95443951853031e-10
31,7,-1.5070500324073e-09,-1.34200215522703e-09
31,8,-3.13298214543888e-09,2.13979685979445e-09
31,9,9.05434913698501e-10,5.84910197480299e-09
31,10,4.3696098681008e-09,-4.89238049482882e-09
31,11,1.98624992742605e-09,2.170444949909e-08
31,12,5.73469377238149e-10,3.99574209678771e-09
31,13,9.75692234529621e-09,4.66670888670919e-09
31,14,-8.05539002528049e-09,3.23413725204444e-09
31,15,4.1577960626879e-09,-2.36370445916582e-09
31,16,-6.87945355775961e-09,6.14400952666896e-09
31,17,-2.94423880314167e-09,6.85375599582282e-09
31,18,-5.28936370847284e-10,-2.42687891017928e-09
31,19,2.13996689512175e-09,4.76933442873382e-09
31,20,-2.44897782631644e-09,5.73327624756213e-09
31,21,-9.95579391995018e-09,7.43131504364417e-09
31,22,-9.89053262608394e-09,-1.12287412045968e-08
31,23,8.06346812078072e-09,4.30454840667965e-09
31,24,-2.89171796135378e-09,-3.71576512694828e-09
31,25,-1.66369271912713e-08,-1.76254233897925e-09
31,26,-1.28492467047788e-08,1.78199280155603e-09
31,27,-1.13757449574752e-09,1.10351866545526e-08
31,28,1.02128260465742e-08,2.84607694986075e-09
31,29,-2.02358089005802e-09,-2.32597050995778e-09
31,30,-8.24944801176014e-10,-8.13539921637095e-09
31,31,-8.82526514130425e-09,-1.58004415305426e-09
32,0,-2.40069102843874e-09,0.0
32,1,-7.60379802780217e-11,3.5793378942207e-09
